07:31:40 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
07:31:43 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:31:43 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:31:53 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:31:53 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
07:31:53 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
07:31:54 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
07:31:54 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
07:31:55 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
07:31:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
07:31:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
07:31:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
07:31:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:31:57 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:31:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:31:57 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
07:31:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
07:31:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
07:31:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
07:31:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
07:31:59 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
07:31:59 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
07:31:59 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
07:31:59 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
07:32:00 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
07:32:00 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
07:32:01 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
07:32:01 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
07:32:01 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
07:32:02 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
07:32:02 [Test worker] INFO  tests.TestBase - **********************************
07:32:02 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:32:02 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:32:02 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:32:02 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:32:02 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:32:02 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:32:02 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
07:32:03 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
07:32:03 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
07:32:03 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
07:32:03 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
07:32:04 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
07:32:04 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
07:32:04 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
07:32:04 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
07:32:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
07:32:05 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
07:32:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
07:32:05 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
07:32:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
07:32:06 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
07:32:06 [Test worker] INFO  tests.TestBase - **********************************
07:32:06 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:32:06 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:32:06 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:32:06 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:32:06 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:32:07 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:32:07 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
